OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
411,439,85ca8a7a-dbf2-48fc-85f6-8e9c3007e54c,0,4,1,1,8.196721,0.288462,3607.195696,49,5,0,1
412,1977,783ff5cb-394f-4cd0-88f5-d3df861d38a8,2,10,0,1,18.032787,0.634615,6382.282055,41,9,2,1
413,1531,4866ad7a-21fa-46a1-b371-515e0fdb3034,0,10,0,0,16.393443,0.576923,4080.550511,37,10,0,1
414,1469,50d47a30-e4d8-40fa-a5e3-47a059cf95d9,1,9,14,0,29.508197,1.038462,4208.815916,30,17,1,2
415,239,0ff7db92-2500-4249-af5e-6345ca8e9ff5,0,0,0,0,0,0,56.140328,,,0,1
416,1532,53366df0-814d-47f2-ac58-4a480c042918,0,12,1,0,21.311475,0.75,6209.663921,37,13,0,1
417,441,fd3c342d-47b5-443b-bda8-e0549e933823,0,2,2,3,4.918033,0.173077,809.011312,1,1,2,1
418,1979,c3d44763-789d-454c-a76b-3de8b61fd4a6,1,1,0,0,1.639344,0.057692,2241.543147,,,1,1
419,146,265e4fec-be85-4fe4-af94-43a5d681bf29,0,0,3,0,4.918033,0.173077,750.183263,0,3,0,1
420,562,09afeded-dd1f-473e-982d-08c833c85140,1,12,7,3,34.42623,1.211538,3482.181628,54,20,1,2
421,241,bc6260a5-77af-406d-976c-9a33b7c29111,0,4,4,0,13.114754,0.461538,4353.959602,2,8,0,1
422,1981,17fa8651-f96b-4185-ace6-c80252c946ad,0,5,7,7,13.114754,0.461538,6645.308266,1,7,1,1
423,442,c4615f08-22d3-499c-8717-bd6b255e357a,0,3,2,4,8.196721,0.288462,396.414035,3,5,0,1
424,1533,28e85990-bc34-4a44-bf07-89d934498cda,1,2,0,0,4.918033,0.173077,1618.304154,11,2,1,1
